Pair,Ratio,Z-Score,RSI,MACD,Signal
BPAC11/CSNA3,10.4307,-0.94,48.3,-0.0149,NO SIGNAL
ABEV3/GGBR4,0.6457,-0.94,35.5,-0.0206,NO SIGNAL
BBDC4/RAIL3,1.3161,-0.93,45.7,0.0062,NO SIGNAL
USIM5/CSAN3,2.1074,-0.93,40.7,-0.0685,NO SIGNAL
BBDC4/PRIO3,0.315,-0.91,47.4,0.0018,NO SIGNAL
ABEV3/VAMO3,4.9202,-0.89,38.9,-0.1494,NO SIGNAL
ITUB4/UGPA3,1.3078,-0.89,35.2,-0.0646,NO SIGNAL
BBAS3/PETR3,0.4386,-0.89,46.2,-0.0031,NO SIGNAL
ALPA4/PCAR3,4.1367,-0.89,37.3,-0.4389,NO SIGNAL
HAPV3/UGPA3,0.3265,-0.88,39.4,-0.0218,NO SIGNAL
SUZB3/GOAU4,3.9721,-0.88,40.4,-0.0733,NO SIGNAL
RENT3/CSNA3,7.0588,-0.88,41.6,-0.2545,NO SIGNAL
VALE3/GGBR4,3.0262,-0.88,30.0,-0.1259,NO SIGNAL
ABEV3/KLBN11,0.8906,-0.87,37.8,-0.0142,NO SIGNAL
WEGE3/GGBR4,1.839,-0.87,39.1,-0.0434,NO SIGNAL
BBDC4/PCAR3,6.6043,-0.87,38.8,-0.4309,NO SIGNAL
RENT3/UGPA3,1.1589,-0.87,30.3,-0.1051,NO SIGNAL
ITUB4/CSNA3,7.9658,-0.86,48.2,-0.0242,NO SIGNAL
RADL3/TOTS3,0.5996,-0.86,45.1,0.0057,NO SIGNAL
BBDC4/UGPA3,0.572,-0.85,34.7,-0.0258,NO SIGNAL
EQTL3/ALPA4,3.2957,-0.85,49.6,0.0537,NO SIGNAL
LREN3/CSNA3,2.537,-0.85,42.4,-0.0721,NO SIGNAL
YDUQ3/PCAR3,2.9065,-0.84,38.1,-0.3413,NO SIGNAL
VALE3/VAMO3,23.0583,-0.84,36.8,-0.9124,NO SIGNAL
ITUB4/WEGE3,0.919,-0.84,45.6,0.0002,NO SIGNAL
ITUB4/BBDC4,2.2865,-0.84,44.9,-0.0086,NO SIGNAL
PRIO3/GOAU4,5.4264,-0.84,43.8,-0.1157,NO SIGNAL
LREN3/UGPA3,0.4165,-0.83,32.4,-0.0341,NO SIGNAL
KLBN11/VAMO3,5.5245,-0.83,44.9,-0.0743,NO SIGNAL
CMIG4/PCAR3,3.9892,-0.82,38.2,-0.2913,NO SIGNAL
ALPA4/UGPA3,0.3583,-0.82,34.8,-0.0294,NO SIGNAL
USIM5/UGPA3,0.2567,-0.82,33.9,-0.0214,NO SIGNAL
WEGE3/VAMO3,14.0123,-0.82,41.7,-0.3026,NO SIGNAL
YDUQ3/CSAN3,2.0665,-0.82,41.2,-0.0866,NO SIGNAL
ASAI3/UGPA3,0.2551,-0.81,34.9,-0.0179,NO SIGNAL
PETR4/VAMO3,12.8712,-0.81,46.1,-0.1655,NO SIGNAL
CYRE3/USIM5,2.5049,-0.81,48.0,-0.008,NO SIGNAL
BBDC4/CSNA3,3.4839,-0.81,49.5,0.0045,NO SIGNAL
ABEV3/GOAU4,1.4935,-0.8,37.3,-0.0412,NO SIGNAL
BBDC4/CSAN3,4.6957,-0.8,45.7,0.0002,NO SIGNAL
RADL3/CMIG4,1.5987,-0.79,43.4,0.0019,NO SIGNAL
RENT3/ASAI3,4.5421,-0.77,42.7,-0.0719,NO SIGNAL
MULT3/MGLU3,5.8249,-0.77,46.3,0.0125,NO SIGNAL
MULT3/ASAI3,3.3712,-0.77,44.0,0.0111,NO SIGNAL
YDUQ3/UGPA3,0.2517,-0.76,35.1,-0.0235,NO SIGNAL
VALE3/GOAU4,6.9991,-0.76,32.4,-0.2603,NO SIGNAL
RAIL3/KLBN11,0.7746,-0.75,45.7,-0.0065,NO SIGNAL
TAEE11/ALPA4,3.4,-0.74,49.3,0.0673,NO SIGNAL
WEGE3/GOAU4,4.2533,-0.74,41.4,-0.0825,NO SIGNAL
HAPV3/PCAR3,3.7698,-0.73,40.1,-0.3433,NO SIGNAL
TOTS3/VAMO3,9.0706,-0.73,44.5,-0.2859,NO SIGNAL
