Pair,Ratio,Z-Score,RSI,MACD,Signal
BBDC4/SBSP3,0.679,2.15,76.6,0.0119,SHORT FIRST / LONG SECOND
SUZB3/MULT3,1.5451,2.19,66.0,0.0211,SHORT FIRST / LONG SECOND
RAIL3/TAEE11,0.3568,2.21,62.9,0.0016,WATCH SHORT
B3SA3/TIMS3,0.7886,2.22,71.5,0.022,WATCH SHORT
WEGE3/SBSP3,1.6893,2.22,69.2,0.0232,WATCH SHORT
ITUB4/MULT3,1.5205,2.24,66.9,0.021,SHORT FIRST / LONG SECOND
ABEV3/MULT3,0.5809,2.25,66.1,0.0033,SHORT FIRST / LONG SECOND
WEGE3/TIMS3,2.3271,2.25,71.7,0.0583,WATCH SHORT
VALE3/SBSP3,2.78,2.26,64.5,-0.0063,SHORT FIRST / LONG SECOND
CMIG4/MULT3,0.4017,2.28,67.0,0.0046,SHORT FIRST / LONG SECOND
BPAC11/VIVT3,1.6977,2.31,62.7,0.0137,SHORT FIRST / LONG SECOND
GGBR4/TIMS3,1.2654,2.33,82.7,0.0532,WATCH SHORT
PETR3/TIMS3,2.4182,2.34,70.8,0.0805,SHORT FIRST / LONG SECOND
KLBN11/MULT3,0.6523,2.37,73.9,0.0129,SHORT FIRST / LONG SECOND
PRIO3/TIMS3,2.9689,2.37,65.8,0.0657,SHORT FIRST / LONG SECOND
BBAS3/SBSP3,0.77,2.38,69.8,0.0131,SHORT FIRST / LONG SECOND
PETR4/TIMS3,2.1375,2.38,71.3,0.0653,WATCH SHORT
BBDC4/TIMS3,0.9353,2.41,73.7,0.0268,WATCH SHORT
BPAC11/SBSP3,2.0329,2.41,73.5,0.0312,SHORT FIRST / LONG SECOND
ABEV3/TAEE11,0.4102,2.44,63.6,-0.001,SHORT FIRST / LONG SECOND
VALE3/TIMS3,3.8293,2.45,69.2,0.0391,WATCH SHORT
EQTL3/SBSP3,1.4016,2.46,64.5,0.0074,SHORT FIRST / LONG SECOND
ITUB4/VIVT3,1.2965,2.48,65.1,0.0088,SHORT FIRST / LONG SECOND
PRIO3/VIVT3,1.7999,2.48,60.0,0.0066,SHORT FIRST / LONG SECOND
SUZB3/SBSP3,1.5777,2.48,69.2,0.0216,WATCH SHORT
BPAC11/TIMS3,2.8003,2.53,70.0,0.0741,WATCH SHORT
CMIG4/TAEE11,0.2836,2.57,65.3,0.0009,WATCH SHORT
BBAS3/TAEE11,0.5325,2.59,68.0,0.0048,WATCH SHORT
EQTL3/TIMS3,1.9307,2.6,69.5,0.0332,WATCH SHORT
B3SA3/VIVT3,0.4781,2.6,65.6,0.0045,WATCH SHORT
PETR3/VIVT3,1.466,2.61,64.3,0.023,SHORT FIRST / LONG SECOND
SUZB3/TAEE11,1.091,2.62,66.3,0.0064,WATCH SHORT
CMIG4/SBSP3,0.4101,2.65,74.2,0.0047,WATCH SHORT
ITUB4/TIMS3,2.1386,2.65,74.3,0.0542,WATCH SHORT
GGBR4/VIVT3,0.7671,2.66,74.1,0.0192,WATCH SHORT
RAIL3/TIMS3,0.7106,2.67,69.5,0.0171,WATCH SHORT
BBAS3/TIMS3,1.0606,2.67,73.8,0.0298,WATCH SHORT
SUZB3/TIMS3,2.1732,2.68,72.8,0.0547,WATCH SHORT
ITUB4/SBSP3,1.5525,2.71,72.8,0.0219,WATCH SHORT
PETR4/VIVT3,1.2959,2.71,64.0,0.0164,SHORT FIRST / LONG SECOND
RAIL3/VIVT3,0.4308,2.73,63.8,0.0025,WATCH SHORT
RAIL3/MULT3,0.5053,2.74,67.4,0.0063,SHORT FIRST / LONG SECOND
ABEV3/SBSP3,0.5932,2.74,70.1,0.0034,WATCH SHORT
ABEV3/VIVT3,0.4954,2.76,65.2,-0.0007,SHORT FIRST / LONG SECOND
ABEV3/TIMS3,0.8171,2.83,72.8,0.0144,WATCH SHORT
RAIL3/SBSP3,0.5159,2.85,71.2,0.0066,WATCH SHORT
BBDC4/VIVT3,0.567,2.87,65.9,0.0058,WATCH SHORT
SUZB3/VIVT3,1.3175,3.18,65.1,0.009,WATCH SHORT
BBAS3/VIVT3,0.643,3.21,66.8,0.0065,WATCH SHORT
