Price,Close,High,Low,Open,Volume
Ticker,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA,VALE3.SA
Date,,,,,
2024-05-16,54.84080123901367,55.060463945348545,54.41836403253554,54.899942190085405,16647700
2024-05-17,55.91378402709961,56.05741111775508,55.060459139645914,55.12805063379425,32338800
2024-05-20,55.8884391784668,56.2686300551441,55.52514295249261,55.87998863017538,22222300
2024-05-21,55.727909088134766,56.69106529232902,55.67721869187596,56.39536057102017,23042800
2024-05-22,55.28858184814453,56.05741418706888,54.984426553703244,55.76170944132875,17404000
2024-05-23,54.959075927734375,55.254780644281546,54.56198397442274,55.10270301207452,16445800
2024-05-24,54.984432220458984,55.4744609615484,54.832354557565054,54.91684071564375,11731900
2024-05-27,55.17030334472656,55.17030334472656,54.67182407476521,54.84080282978618,5119400
2024-05-28,53.97902297973633,55.161848386826996,53.52279004646365,55.15339783828123,22173900
2024-05-29,53.42985916137695,53.84384581785575,53.20174268368982,53.598831465198444,16496900
2024-05-31,53.396060943603516,53.60727953655849,53.04966258007497,53.13414872808097,23383600
2024-06-03,52.272377014160156,53.100353520218924,52.12029936784936,53.09190619450832,18846500
2024-06-04,51.740108489990234,51.875288261978966,51.283875550925785,51.86683771332592,19865100
2024-06-05,51.005062103271484,51.68941146685286,50.95437170644753,51.62181997383455,18000800
2024-06-06,51.714759826660156,51.81614707238556,50.996617895608395,51.34301626115359,17888300
2024-06-07,51.03886032104492,51.4275017558986,50.92057842547554,51.27542411218369,14822100
2024-06-10,51.59647750854492,51.79924877540109,51.03041322776054,51.1993855233774,14762900
2024-06-11,51.52043914794922,51.571132770852444,50.44744830188072,51.03041368497792,24588400
2024-06-12,50.81074142456055,51.91752795132539,50.61642071643049,51.67251362340237,21969600
2024-06-13,51.393707275390625,51.579577437239585,50.87833341606891,50.962819560278454,13692600
2024-06-14,51.21628189086914,51.435951025412855,50.91212661100237,51.410602603464056,12282100
2024-06-17,51.01351547241211,51.072656420603735,50.55728253812822,50.726258057078546,13976100
2024-06-18,51.25008010864258,51.435953504841,50.878336539185746,50.98816788881208,12239900
2024-06-19,51.410606384277344,51.60493033410298,51.005067055610965,51.12334895693781,8744100
2024-06-20,51.87528991699219,52.06116009506914,51.38526121356183,51.579581940561425,19497200
2024-06-21,51.393707275390625,51.84148964099286,51.31766845642611,51.56267956380971,39134100
2024-06-24,51.452850341796875,51.60492798599449,51.0304131574568,51.089554105429215,13669000
